"PERID","Criminal"
"36082979","1"
"83193979","1"
"74613979","1"
"66223979","1"
"21533979","1"
"91243979","0"
"35463979","1"
"21294979","1"
"33094979","1"
"85604979","1"
"69014979","1"
"50724979","1"
"97544979","1"
"28684979","1"
"80095079","1"
"26635079","1"
"99855079","1"
"10565079","1"
"99616079","1"
"57626079","1"
"77386079","1"
"14207079","1"
"77527079","1"
"36437079","1"
"24347079","1"
"61647079","1"
"75057079","1"
"67477079","1"
"13208079","1"
"24108079","1"
"66338079","1"
"38138079","1"
"71548079","1"
"56858079","1"
"59368079","1"
"33778079","1"
"61978079","1"
"68229079","0"
"97329079","1"
"45049079","1"
"63059079","1"
"19269079","1"
"81879079","1"
"49690079","1"
"35090079","1"
"11010079","1"
"97220079","1"
"69350079","1"
"55180079","1"
"57311079","0"
"31051079","1"
"20961079","1"
"79871079","1"
"99492079","1"
"14702079","1"
"12522079","1"
"53182079","1"
"15793079","1"
"15503079","1"
"98013079","1"
"77923079","1"
"13653079","1"
"49053079","1"
"29483079","1"
"57683079","1"
"91094079","1"
"23604079","1"
"16114079","1"
"77634079","1"
"47344079","1"
"14454079","1"
"73364079","1"
"60664079","1"
"67964079","1"
"40474079","1"
"66684079","1"
"84635189","1"
"39655189","1"
"61265189","1"
"95865189","1"
"75675189","1"
"21075189","1"
"30506189","1"
"16716189","1"
"67236189","0"
"19036189","1"
"97946189","1"
"66856189","0"
"83156189","1"
"87566189","1"
"62066189","1"
"28276189","1"
"84676189","1"
"35197189","1"
"33107189","1"
"65527189","1"
"69937189","1"
"89647189","1"
"56947189","1"
"14957189","1"
"63487189","1"
"13008189","1"
"70118189","1"
"57228189","1"
"60738189","1"
"58648189","1"
"23148189","1"
"15568189","1"
"19168189","1"
"70688189","1"
"12009189","1"
"97939189","1"
"85139189","1"
"27459189","1"
"11059189","1"
"80969189","0"
"65089189","1"
"85410189","1"
"39340189","1"
"65740189","1"
"21140189","0"
"17350189","1"
"99770189","1"
"61901189","1"
"70811189","1"
"89911189","1"
"66831189","1"
"24031189","1"
"96351189","0"
"75881189","1"
"41092189","1"
"81802189","1"
"11612189","1"
"69432189","1"
"37632189","1"
"46732189","1"
"25352189","1"
"75162189","1"
"49382189","1"
"74023189","1"
"82033189","1"
"14353189","1"
"24304189","1"
"27004189","1"
"45014189","1"
"73164189","1"
"23395289","0"
"64815289","1"
"53535289","1"
"97135289","1"
"35665289","1"
"10596289","1"
"69216289","1"
"12916289","1"
"49026289","1"
"51346289","1"
"76656289","1"
"21586289","1"
"93197289","1"
"41107289","1"
"77127289","1"
"13667289","1"
"68167289","1"
"12577289","1"
"19687289","1"
"11298289","0"
"89208289","1"
"81628289","0"
"39828289","1"
"53238289","1"
"65558289","1"
"23758289","1"
"82858289","1"
"25368289","1"
"24468289","1"
"67168289","1"
"63188289","1"
"63329289","1"
"33279289","1"
"15889289","0"
"34989289","1"
"57490289","1"
"23410289","1"
"49620289","1"
"29140289","1"
"67150289","1"
"23360289","1"
"48860289","1"
"45160289","1"
"29191289","1"
"32601289","1"
"40611289","1"
"13931289","1"
"41131289","1"
"82551289","1"
"99851289","1"
"67051289","1"
"96771289","1"
"61602289","1"
"84112289","1"
"33832289","1"
"53972289","1"
"16482289","1"
"54682289","1"
"43782289","1"
"63593289","1"
"47193289","1"
"52213289","1"
"64823289","1"
"29653289","1"
"84773289","1"
"47283289","1"
"49894289","1"
"23204289","1"
"85004289","1"
"71214289","1"
"64914289","1"
"82734289","1"
"89364289","1"
"21974289","1"
"55384289","0"
"67184289","0"
"18215389","1"
"11915389","1"
"16365389","1"
"26175389","1"
"42385389","1"
"45606389","1"
"47216389","1"
"25416389","1"
"62716389","1"
"59016389","1"
"19397389","1"
"94897389","1"
"79917389","1"
"88017389","1"
"67117389","1"
"31667389","0"
"89677389","1"
"64177389","1"
"56787389","1"
"49008389","1"
"18248389","1"
"42468389","1"
"88678389","1"
"26688389","1"
"13799389","1"
"66209389","1"
"37109389","1"
"52229389","1"
"79529389","1"
"82369389","1"
"57869389","1"
"67290389","1"
"59800389","1"
"26910389","1"
"47620389","1"
"41030389","1"
"72450389","1"
"92260389","1"
"33160389","1"
"54680389","1"
"75531389","0"
"97851389","1"
"45051389","1"
"76761389","1"
"82161389","1"
"28992389","1"
"34102389","0"
"79412389","1"
"76712389","0"
"79222389","1"
"54532389","1"
"80642389","1"
"99362389","1"
"39172389","1"
"45382389","0"
"55903389","1"
"34623389","1"
"32823389","1"
"53533389","0"
"32633389","1"
"59453389","1"
"93863389","1"
"43004389","1"
"97224389","1"
"73434389","1"
"27034389","1"
"79974389","1"
"76084389","1"
"49105489","1"
"58345489","0"
"25455489","1"
"55265489","1"
"19865489","1"
"89675489","1"
"34796489","1"
"63416489","1"
"13226489","1"
"61946489","1"
"83366489","1"
"61376489","1"
"86876489","1"
"55117489","0"
"50237489","1"
"47537489","1"
"79047489","1"
"84357489","1"
"78957489","1"
"83267489","1"
"99098489","1"
"59618489","1"
"37818489","1"
"35018489","1"
"83838489","1"
"72938489","1"
"71038489","1"
"15348489","1"
"22268489","1"
"69378489","0"
"53599489","1"
"21799489","1"
"89709489","1"
"78239489","1"
"65249489","1"
"49849489","1"
"19469489","1"
"63200489","1"
"57800489","1"
"20310489","1"
"29550489","1"
"17750489","1"
"73960489","1"
"85570489","0"
"39170489","1"
"13580489","1"
"38080489","1"
"36091489","1"
"12341489","1"
"99641489","1"
"27651489","1"
"33861489","1"
"63671489","1"
"57892489","1"
"66992489","1"
"49022489","1"
"50442489","0"
"79542489","1"
"70252489","1"
"35372489","1"
"84472489","1"
"22813489","1"
"77933489","1"
"56553489","1"
"23853489","1"
"40963489","1"
"50773489","1"
"91483489","1"
"85894489","1"
"53094489","1"
"65414489","1"
"97834489","1"
"30244489","1"
"43184489","1"
"17395589","1"
"83795589","1"
"84405589","1"
"56015589","1"
"92035589","1"
"34545589","1"
"43075589","1"
"75685589","1"
"23885589","1"
"25496589","1"
"34596589","1"
"13216589","1"
"65636589","1"
"51746589","1"
"67146589","1"
"65397589","1"
"30227589","1"
"19327589","1"
"50747589","1"
"13877589","1"
"99087589","1"
"39418589","1"
"77618589","1"
"73828589","1"
"81358589","1"
"20699589","1"
"95199589","1"
"83869589","1"
"31069589","1"
"22390589","1"
"61200589","1"
"37600589","1"
"75750589","1"
"79591589","1"
"61101589","0"
"18211589","1"
"87641589","1"
"95461589","1"
"28161589","1"
"13471589","1"
"49202589","1"
"43802589","1"
"61812589","1"
"53422589","1"
"57022589","1"
"34272589","1"
"27972589","1"
"11382589","1"
"69582589","1"
"60293589","1"
"83993589","1"
"16403589","1"
"98013589","1"
"44223589","1"
"65643589","1"
"51663589","1"
"83083589","1"
"23414589","1"
"90714589","1"
"36114589","1"
"66734589","0"
"91944589","1"
"22654589","0"
"65974589","1"
"20284589","1"
"45784589","1"
"53984589","1"
"41695689","1"
"97805689","1"
"21025689","0"
"46045689","1"
"73965689","1"
"20075689","1"
"83536689","1"
"15046689","0"
"22156689","1"
"71066689","0"
"23486689","1"
"13297689","1"
"20307689","0"
"57227689","0"
"93437689","1"
"36847689","1"
"67367689","1"
"47177689","1"
"45187689","1"
"93198689","1"
"53908689","1"
"73528689","1"
"17128689","1"
"71248689","1"
"85848689","1"
"53858689","1"
"42578689","0"
"11488689","1"
"69499689","1"
"21629689","1"
"78739689","1"
"93949689","1"
"88259689","1"
"43569689","1"
"99969689","1"
"88069689","1"
"33189689","1"
"47300689","0"
"89100689","1"
"50430689","1"
"49530689","1"
"44550689","1"
"12560689","1"
"99621689","1"
"76731689","1"
"34931689","1"
"37341689","1"
"64641689","1"
"87151689","1"
"43361689","1"
"86061689","1"
"75971689","1"
"33981689","0"
"85592689","1"
"51992689","1"
"91322689","1"
"48622689","1"
"15922689","1"
"63932689","1"
"21272689","1"
"37672689","1"
"62172689","1"
"49613689","1"
"51223689","0"
"77623689","1"
"68663689","1"
"35394689","1"
"87194689","1"
"80604689","1"
"79704689","1"
"34014689","1"
"85534689","0"
"35864689","0"
"63684689","1"
"79405789","1"
"83625789","1"
"61825789","1"
"33435789","1"
"12245789","1"
"94855789","1"
"19975789","1"
"61585789","1"
"25185789","1"
"48216789","1"
"43716789","1"
"91536789","1"
"17936789","1"
"65846789","1"
"41486789","1"
"89497789","1"
"45897789","1"
"80917789","1"
"85227789","1"
"89827789","1"
"67027789","1"
"34277789","1"
"46887789","1"
"22098789","1"
"45508789","1"
"39108789","1"
"59868789","1"
"29009789","1"
"48539789","1"
"46739789","1"
"87349789","1"
"49149789","1"
"87969789","1"
"31379789","1"
"76879789","1"
"39389789","1"
"83120789","1"
"83930789","1"
"89040789","1"
"46150789","1"
"65060789","0"
"31270789","1"
"84780789","1"
"67291789","1"
"74591789","1"
"67001789","1"
"99941789","1"
"71361789","1"
"73781789","1"
"13302789","1"
"49702789","1"
"57902789","1"
"46622789","1"
"23442789","1"
"29652789","0"
"49462789","1"
"27662789","1"
"29082789","1"
"13493789","1"
"70793789","0"
"69223789","1"
"76523789","1"
"55433789","1"
"45143789","1"
"21163789","1"
"66283789","1"
"39983789","1"
"32204789","1"
"69644789","1"
"78364789","1"
"29074789","1"
"68595889","1"
"45745889","1"
"41955889","1"
"84465889","1"
"77165889","1"
"27785889","1"
"93326889","1"
"70626889","1"
"46307889","1"
"51807889","1"
"27827889","1"
"77637889","1"
"32657889","1"
"38867889","1"
"11708889","1"
"71518889","1"
"65928889","1"
"47538889","1"
"89668889","1"
"45829889","1"
"78479889","1"
"71179889","1"
"29700889","0"
"48610889","1"
"78420889","1"
"37520889","1"
"33250889","1"
"74770889","1"
"43491889","1"
"19891889","1"
"13201889","1"
"71401889","1"
"89411889","1"
"26711889","1"
"45811889","1"
"25621889","1"
"63821889","1"
"41021889","1"
"93631889","1"
"31831889","1"
"71541889","1"
"30641889","1"
"67941889","1"
"83151889","1"
"88461889","1"
"59171889","1"
"25381889","1"
"49981889","1"
"69792889","1"
"61302889","1"
"69502889","1"
"41732889","1"
"37132889","0"
"86942889","1"
"61682889","1"
"73293889","1"
"72393889","1"
"61013889","0"
"63433889","1"
"37743889","1"
"85943889","1"
"91773889","1"
"39594889","1"
"47794889","1"
"35994889","1"
"77934889","1"
"45134889","1"
"80344889","1"
"52144889","0"
"23854889","1"
"66364889","1"
"48164889","1"
"35274889","1"
"12384889","1"
"87884889","1"
"75084889","1"
"77495989","1"
"79815989","1"
"63035989","1"
"98055989","0"
"50665989","0"
"63985989","1"
"32085989","1"
"41185989","1"
"12896989","1"
"53316989","0"
"47916989","1"
"45736989","1"
"37246989","1"
"39286989","1"
"43886989","1"
"95497989","1"
"19807989","1"
"55017989","1"
"37627989","1"
"59237989","0"
"19567989","0"
"27577989","1"
"56677989","1"
"87387989","0"
"86298989","1"
"95398989","1"
"93308989","1"
"12408989","0"
"36628989","1"
"85728989","0"
"20038989","0"
"90558989","1"
"86578989","1"
"53878989","1"
"61078989","1"
"73499989","1"
"11409989","0"
"26909989","1"
"50319989","1"
"45190989","1"
"19500989","1"
"65900989","1"
"87320989","1"
"84430989","1"
"93240989","0"
"55660989","1"
"47270989","1"
"25470989","1"
"79351989","1"
"91151989","1"
"64471989","1"
"83571989","1"
"61771989","1"
"41581989","1"
"85181989","1"
"45512989","1"
"32622989","1"
"47932989","1"
"15652989","1"
"64752989","1"
"43852989","1"
"23662989","1"
"76982989","1"
"27543989","1"
"63563989","1"
"80863989","1"
"67783989","1"
"99394989","1"
"27304989","1"
"46404989","0"
"52614989","1"
"81714989","1"
"77114989","1"
"47734989","1"
"96834989","1"
"33134989","1"
"75454989","1"
"31854989","1"
"79864989","1"
"57295089","1"
"14925089","1"
"76245089","1"
"69755089","1"
"88855089","1"
"87575089","1"
"80085089","1"
"44496089","1"
"82696089","1"
"61316089","1"
"42026089","1"
"60036089","1"
"48756089","1"
"81266089","1"
"69276089","1"
"33876089","1"
"45297089","1"
"43497089","1"
"82597089","1"
"21697089","0"
"30317089","1"
"19227089","1"
"57427089","1"
"43347089","1"
"59747089","1"
"65957089","1"
"83728089","0"
"15668089","1"
"52778089","1"
"95099089","1"
"91209089","1"
"32109089","1"
"87229089","1"
"64529089","1"
"53629089","1"
"63439089","1"
"68459089","1"
"56469089","1"
"23769089","1"
"19979089","1"
"37989089","1"
"75189089","1"
"14800089","1"
"66220089","1"
"89920089","1"
"18830089","1"
"47450089","1"
"15270089","1"
"20391089","1"
"50721089","0"
"91431089","1"
"60241089","0"
"53561089","1"
"57161089","0"
"83181089","1"
"27592089","1"
"27302089","1"
"65502089","1"
"69722089","1"
"37922089","1"
"45642089","1"
"63652089","1"
"70952089","1"
"11472089","1"
"23082089","1"
"21423089","1"
"49143089","0"
"17153089","1"
"85163089","1"
"33983089","1"
"23504089","0"
"39524089","1"
"83124089","0"
"82554089","1"
"21654089","1"
"43074089","1"
"51084089","1"
"29415199","1"
"38515199","1"
"99225199","0"
"24675199","1"
"94485199","1"
"79985199","1"
"28896199","1"
"13106199","1"
"75336199","1"
"69646199","1"
"37466199","1"
"83866199","1"
"94386199","1"
"37086199","1"
"55097199","0"
"92727199","1"
"40927199","1"
"34477199","1"
"35187199","1"
"45518199","1"
"16228199","1"
"15328199","1"
"41728199","1"
"40828199","1"
"27128199","1"
"91248199","1"
"17648199","1"
"34948199","1"
"30158199","1"
"58168199","1"
"71488199","1"
"26988199","0"
"28309199","1"
"21009199","1"
"21629199","1"
"26129199","1"
"10539199","1"
"78449199","0"
"85559199","1"
"80059199","1"
"43569199","1"
"25179199","1"
"21190199","1"
"96400199","1"
"32230199","1"
"53840199","1"
"20140199","1"
"31470199","0"
"67870199","1"
"87491199","1"
"18101199","1"
"53411199","1"
"54261199","1"
"53361199","1"
"93171199","1"
"93312199","1"
"93262199","1"
"85872199","1"
"52982199","1"
"60703199","1"
"33213199","1"
"22263199","1"
"57573199","1"
"83973199","1"
"55583199","1"
"89324199","1"
"56624199","1"
"41454199","1"
"59654199","0"
"38374199","1"
"92784199","1"
"89025299","1"
"59835299","1"
"63575299","1"
"95185299","1"
"41106299","1"
"81536299","1"
"46036299","1"
"63666299","1"
"57076299","1"
"43427299","1"
"41627299","1"
"93237299","1"
"15037299","1"
"69347299","1"
"65177299","1"
"43998299","1"
"41908299","1"
"45318299","1"
"33518299","1"
"15938299","1"
"24558299","1"
"61858299","1"
"49058299","1"
"53468299","1"
"66978299","1"
"99299299","1"
"66599299","1"
"40719299","1"
"96929299","1"
"49439299","0"
"81189299","1"
"47100299","1"
"40420299","1"
"79330299","1"
"20560299","1"
"89470299","1"
"64301299","1"
"31411299","1"
"11031299","1"
"52641299","1"
"89941299","1"
"31171299","1"
"71792299","1"
"59992299","1"
"64202299","1"
"61502299","1"
"93922299","1"
"38232299","1"
"52832299","1"
"79842299","1"
"83252299","1"
"31452299","1"
"51262299","1"
"29462299","1"
"95293299","0"
"17613299","1"
"35813299","0"
"20933299","1"
"41543299","1"
"89743299","1"
"55143299","1"
"70263299","1"
"81163299","1"
"38273299","1"
"27373299","1"
"33773299","1"
"26283299","1"
"39983299","1"
"70404299","1"
"63104299","1"
"54954299","1"
"33674299","1"
"12774299","0"
"61874299","1"
"34384299","1"
"99495399","1"
"73095399","1"
"86505399","1"
"75605399","0"
"43805399","1"
"23615399","1"
"64325399","1"
"41625399","1"
"41435399","1"
"19635399","1"
"66455399","1"
"72665399","1"
"71765399","1"
"99775399","1"
"12285399","1"
"71906399","1"
"69916399","1"
"47116399","1"
"15126399","1"
"35936399","1"
"92946399","1"
"41856399","1"
"33466399","1"
"95886399","1"
"84797399","1"
"95217399","1"
"93417399","1"
"62327399","1"
"27827399","1"
"96687399","1"
"41998399","0"
"20428399","0"
"23128399","1"
"55738399","1"
"25258399","1"
"85068399","1"
"11278399","1"
"23888399","1"
"79429399","1"
"47439399","1"
"29379399","1"
"55779399","1"
"64879399","1"
"42400399","1"
"93730399","1"
"50740399","1"
"77850399","1"
"22970399","1"
"53680399","1"
"95291399","0"
"19411399","1"
"93011399","1"
"80121399","1"
"97231399","1"
"40931399","0"
"82492399","1"
"49792399","1"
"29312399","1"
"39932399","1"
"45852399","1"
"29403399","0"
"76703399","1"
"17223399","1"
"29833399","0"
"29973399","1"
"31914399","1"
"17124399","1"
"34234399","1"
"57454399","1"
"13664399","1"
"19064399","1"
"13474399","1"
"73895499","1"
"22995499","1"
"87205499","1"
"65405499","1"
"90285499","1"
"79385499","1"
"18485499","1"
"71996499","0"
"73506499","1"
"25926499","1"
"95446499","1"
"93266499","1"
"79666499","1"
"57297499","1"
"21897499","1"
"33027499","1"
"58337499","1"
"73357499","1"
"51557499","1"
"77957499","1"
"27198499","1"
"96008499","1"
"49518499","1"
"69328499","1"
"68428499","1"
"13258499","1"
"17478499","1"
"35299499","1"
"83499499","1"
"37099499","1"
"77429499","1"
"85149499","1"
"70889499","1"
"86090499","0"
"52200499","1"
"14000499","1"
"25850499","1"
"69211499","1"
"25611499","1"
"49021499","1"
"53431499","1"
"95371499","1"
"52671499","1"
"73381499","1"
"99781499","1"
"35181499","1"
"18212499","1"
"54612499","1"
"55132499","1"
"41242499","1"
"77642499","1"
"42952499","1"
"50772499","1"
"83282499","1"
"93093499","1"
"95413499","1"
"43613499","1"
"90723499","1"
"43753499","1"
"37163499","0"
"32473499","1"
"22283499","1"
"73183499","1"
"49914499","1"
"16024499","1"
"75934499","0"
"79244499","1"
"44744499","1"
"53844499","1"
"23084499","1"
"57295599","1"
"24595599","1"
"19095599","1"
"97625599","1"
"53025599","1"
"79375599","1"
"42075599","1"
"23785599","1"
"76006599","1"
"96626599","1"
"15536599","1"
"63446599","1"
"19846599","1"
"71266599","1"
"75866599","1"
"53876599","1"
"33686599","1"
"55817599","1"
"86337599","1"
"21837599","1"
"63777599","1"
"47708599","1"
"47518599","1"
"53248599","1"
"71258599","1"
"73058599","1"
"36568599","1"
"87278599","1"
"94578599","1"
"42399599","1"
"32729599","1"
"92539599","0"
"13149599","1"
"69359599","1"
"88459599","1"
"63959599","1"
"16279599","1"
"91390599","1"
"58690599","1"
"84610599","1"
"94420599","1"
"64230599","1"
"57260599","1"
"29060599","1"
"93470599","1"
"70580599","0"
"97401599","1"
"25031599","1"
"16402599","1"
"65642599","0"
"74362599","1"
"73272599","1"
"75072599","1"
"22993599","1"
"27203599","1"
"56113599","1"
"18533599","1"
"45833599","1"
"25353599","1"
"29953599","1"
"49763599","1"
"68863599","1"
"37963599","1"
"47773599","1"
"85594599","1"
"67914599","1"
"75734599","1"
"67244599","1"
"56344599","1"
"97054599","1"
"13395699","1"
"11595699","1"
"61115699","1"
"28225699","1"
"75335699","1"
"50835699","1"
"59935699","1"
"95045699","1"
"78555699","1"
"43055699","1"
"85665699","1"
"27275699","1"
"29075699","1"
"21206699","1"
"32726699","1"
"56656699","1"
"43766699","1"
"99166699","1"
"20686699","1"
"57797699","1"
"73197699","1"
"38027699","1"
"87127699","0"
"47937699","1"
"65657699","1"
"91867699","1"
"89687699","1"
"49498699","0"
"95608699","1"
"48928699","1"
"92338699","1"
"56648699","0"
"92668699","1"
"62619699","1"
"58349699","1"
"51859699","1"
"49869699","1"
"23220699","1"
"11420699","1"
"76440699","1"
"45540699","1"
"53360699","1"
"91370699","1"
"57770699","1"
"47101699","1"
"89521699","1"
"45921699","0"
"33261699","1"
"72171699","1"
"31081699","1"
"10702699","1"
"73212699","1"
"41222699","1"
"49422699","1"
"81032699","1"
"70132699","1"
"53542699","1"
"73593699","1"
"32403699","1"
"95103699","1"
"89323699","1"
"15053699","1"
"89463699","1"
"73683699","1"
"13204699","0"
"82304699","1"
"10314699","1"
"79414699","0"
"15144699","0"
"80074699","1"
"59174699","0"
"49984699","0"
"99595799","1"
"64095799","1"
"91105799","0"
"13715799","0"
"29445799","1"
"92145799","1"
"38355799","1"
"16555799","1"
"33665799","1"
"98975799","1"
"47696799","1"
"63806799","1"
"41006799","1"
"19826799","1"
"97836799","1"
"10246799","1"
"37976799","1"
"16076799","1"
"37927799","1"
"31337799","1"
"35647799","1"
"95457799","1"
"82567799","1"
"57687799","1"
"69298799","0"
"31618799","1"
"39818799","1"
"27018799","1"
"89628799","1"
"43558799","1"
"65168799","1"
"59578799","1"
"57399799","1"
"15119799","1"
"33939799","1"
"19049799","1"
"17869799","1"
"79289799","1"
"81089799","1"
"67290799","1"
"71600799","1"
"20700799","1"
"21220799","1"
"87620799","1"
"89230799","1"
"49940799","1"
"57950799","1"
"73970799","1"
"48280799","1"
"17380799","1"
"63780799","1"
"33301799","1"
"93921799","1"
"27851799","1"
"68371799","1"
"87471799","1"
"41071799","1"
"35812799","1"
"43012799","1"
"57232799","1"
"93632799","1"
"69742799","1"
"35762799","1"
"33772799","1"
"27182799","0"
"29793799","1"
"53913799","1"
"73723799","1"
"73533799","1"
"43243799","1"
"91443799","1"
"43863799","1"
"86183799","0"
"11494799","1"
"67414799","1"
"78644799","1"
"49354799","1"
"77554799","1"
"41964799","1"
"83515899","1"
"82615899","1"
"65935899","1"
"93135899","1"
"26545899","0"
"52996899","1"
"64506899","1"
"45216899","1"
"38246899","1"
"96207899","1"
"96827899","1"
"75447899","1"
"43647899","1"
"48767899","1"
"31608899","1"
"31418899","1"
"77818899","1"
"98338899","1"
"78858899","1"
"82268899","1"
"21368899","1"
"45968899","1"
"37578899","1"
"90088899","1"
"28429899","1"
"53739899","1"
"13069899","1"
"77289899","1"
"14390899","1"
"61210899","0"
"23010899","1"
"15620899","1"
"25140899","1"
"27370899","1"
"13580899","1"
"33101899","1"
"45331899","1"
"63531899","1"
"44951899","1"
"25281899","1"
"61681899","0"
"39881899","1"
"41492899","1"
"67602899","0"
"23952899","0"
"51962899","0"
"75372899","1"
"53572899","1"
"59972899","0"
"25703899","1"
"29923899","1"
"15653899","1"
"62953899","0"
"41863899","0"
"37073899","1"
"65604899","1"
"49014899","1"
"76124899","1"
"54134899","0"
"49344899","1"
"14464899","0"
"15174899","1"
"79905999","1"
"63315999","1"
"44545999","1"
"31845999","1"
"21896999","1"
"73406999","1"
"96106999","1"
"89616999","1"
"47816999","1"
"41036999","1"
"83976999","1"
"73786999","0"
"19997999","1"
"17197999","1"
"32407999","1"
"29327999","1"
"25057999","1"
"53498999","1"
"30508999","1"
"89608999","1"
"55438999","1"
"89178999","1"
"79988999","1"
"99799999","1"
"58419999","0"
"22639999","1"
"17849999","1"
"49459999","1"
"97659999","1"
"59690999","1"
"59210999","1"
"47410999","1"
"75420999","1"
"39020999","1"
"76650999","1"
"89970999","1"
"47170999","1"
"63380999","1"
"33191999","1"
"61721999","1"
"44941999","1"
"12141999","1"
"67071999","1"
"61292999","1"
"40392999","0"
"85892999","1"
"41622999","0"
"56122999","1"
"71432999","1"
"67832999","1"
"87542999","1"
"23562999","1"
"52662999","1"
"32282999","1"
"39582999","1"
"93182999","1"
"82803999","1"
"28013999","1"
"61523999","1"
"40623999","1"
"66833999","1"
"69243999","1"
"91043999","1"
"55453999","1"
"50763999","1"
"77063999","1"
"45883999","1"
"65694999","1"
"94794999","1"
"51094999","1"
"43604999","1"
"99814999","1"
"78914999","1"
"61234999","1"
"39144999","1"
"12274999","1"
"89384999","1"
"91505099","1"
"85535099","1"
"91935099","1"
"11455099","1"
"63875099","1"
"31075099","1"
"99085099","1"
"37096099","1"
"88706099","1"
"67806099","1"
"63016099","1"
"82926099","1"
"45436099","1"
"33586099","0"
"12207099","1"
"51307099","0"
"49507099","1"
"66807099","1"
"34627099","1"
"34957099","1"
"75287099","1"
"29887099","1"
"14908099","1"
"79218099","1"
"38318099","1"
"73148099","1"
"87558099","1"
"15378099","1"
"89309099","1"
"75709099","1"
"61249099","1"
"56749099","1"
"32579099","1"
"86179099","1"
"83090099","1"
"67210099","1"
"55220099","0"
"80530099","1"
"79340099","1"
"66640099","1"
"85550099","1"
"25170099","1"
"32280099","1"
"19580099","1"
"43991099","1"
"32611099","1"
"71711099","1"
"95121099","1"
"73131099","1"
"58341099","1"
"63841099","1"
"55451099","1"
"75071099","1"
"13081099","1"
"87492099","1"
"43892099","1"
"57202099","1"
"83222099","1"
"91232099","1"
"44932099","1"
"78672099","1"
"99193099","1"
"45303099","1"
"69903099","1"
"31513099","1"
"67533099","1"
"41133099","1"
"72363099","1"
"49663099","1"
"69283099","1"
"49094099","1"
"83214099","1"
"41364099","1"
"45584099","1"
"27705109","0"
"37135109","0"
"45285109","1"
"21496109","1"
"94906109","1"
"21016109","0"
"85946109","1"
"33146109","1"
"73766109","1"
"39976109","1"
